SITE (500 m ),WCR,PWR,WW,WBW,GW,BD,CK,WTK,RL,I,BWT,SF,LF,LC
Triveni ghat,0,1,0,1,0,0,1,1,1,0,1,0,0,1
Ghat 1,0,1,0,1,1,0,0,1,1,0,1,0,0,1
Ghat 2,0,1,0,1,1,0,1,0,0,0,1,0,0,1
Ramjhula,0,0,0,1,0,0,1,1,1,0,1,0,0,0
Phoolchatti main river,1,1,0,1,1,1,1,0,0,0,1,0,0,1
Phoolchatti side stream,1,1,0,1,1,1,1,1,0,0,1,1,1,1
Shivpuri (main river),1,1,0,1,1,1,1,0,0,0,1,0,1,1
Shivpuri (side stream),1,1,0,1,1,1,1,1,0,0,1,0,0,0
Agastya muni Gufa,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Gular side stream,1,1,0,1,1,1,1,1,0,0,1,0,1,0
Bhingni (glass house),1,1,0,1,0,1,1,1,1,0,0,0,1,0
Devprayag (sangam),1,1,0,0,0,0,0,1,0,0,1,0,1,0
Devprayag trail,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chakha Village (side stream),1,1,0,0,0,0,0,0,0,0,1,1,0,0
Beyond Tehri (backwater 2),0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chiniyali saud,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Dharasu Bend (main river),1,1,0,1,1,1,1,1,0,0,1,0,1,0
Dharasu Bend (side stream),1,1,0,0,1,1,1,1,0,0,1,1,1,0
Dunda,1,1,0,1,1,1,1,0,0,0,1,1,1,0
Before Uttarkashi,1,1,0,0,1,1,0,0,0,0,1,0,1,0
Joshiyara (Uttarkashi),0,1,0,1,0,0,0,1,0,0,1,0,0,0
Asiganga site 1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Asiganga site 2,1,1,0,0,1,1,0,0,0,0,1,0,0,0
Sangam Chatti,1,1,1,0,0,1,0,0,0,0,1,0,0,0
Broken bridge,1,1,0,1,1,1,1,1,0,0,1,0,1,0
Naluna,1,1,0,1,1,1,0,0,0,0,1,0,0,0
Netala,1,1,0,1,1,1,1,0,0,0,1,1,0,0
Beyond Maneri (opp pine pathch),1,1,0,1,1,1,1,0,0,0,1,0,0,0
Bhatwari,1,1,0,1,1,1,1,0,0,0,1,1,0,0
bridge to oak patch,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Bridge to alnus patch,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Gangnani,1,1,1,0,1,1,0,0,0,0,1,0,0,0
Jhala village,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Bogory (main river),1,1,1,1,1,1,0,0,0,1,1,0,0,0
Harsil Side stream cantonment,1,1,0,0,1,1,0,0,0,0,1,1,1,0
Harsil Side stream before village ,1,1,0,0,1,1,0,0,0,0,1,0,0,0
Dharali,1,1,1,1,0,1,0,0,0,1,0,1,0,0
Gangotri,1,1,1,1,1,1,0,0,0,0,1,0,0,0
,27,33,5,24,22,23,18,13,4,2,33,8,11,6
