,,Phalacrocorax_niger,Vanellus_duvaucelii,Ibidorhyncha_struthersii,Actitis_hypoleucos,Cinclus_pallasii,Enicurus_scouleri,Enicurus_maculatus,Myophonus_caeruleus,Chaimarrornis_leucocephalus,Rhyacornis_fuliginosa,Motacilla_madaraspatensis,Motacilla_cinerea,Motacilla_alba,Megaceryle_lugubris,Halcyon_smyrnensis,Alcedo_atthis
Triveni ghat,2014,1,1,0,0,0,0,0,0,0,0,2,0,0,1,1,2
Ghat 1,2014,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Ghat 2,2014,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Ramjhula,2014,0,1,0,0,0,0,0,0,0,0,4,0,0,1,1,0
Phoolchatti main river,2014,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Phoolchatti side stream,2014,1,0,0,0,1,1,0,0,0,0,1,0,0,3,1,3
Shivpuri (main river),2014,1,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0
Shivpuri (side stream),2014,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2
Agastya muni Gufa,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Gular side stream,2014,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0
Bhingni (glass house),2014,0,2,0,0,0,1,0,0,0,0,1,0,0,1,1,0
Devprayag (sangam),2014,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
Devprayag trail,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chakha Village (side stream),2014,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Beyond Tehri (backwater 1),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beyond Tehri (backwater 2),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tehri dam vicinity,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiniyali saud,2014,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Dharasu Bend (main river),2014,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0
Dharasu Bend (side stream),2014,0,0,0,0,2,1,1,1,0,2,0,1,0,1,1,2
Dunda,2014,0,0,0,0,2,1,1,1,0,2,1,1,0,1,0,0
Before Uttarkashi,2014,0,0,0,0,3,1,0,1,0,2,0,1,0,0,0,1
Joshiyara (Uttarkashi),2014,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
Asiganga site 1,2014,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
Asiganga site 2,2014,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
Sangam Chatti,2014,0,0,0,0,2,0,0,1,2,3,0,0,1,0,0,0
Broken bridge,2014,0,0,0,0,2,1,0,1,1,1,1,2,0,1,1,0
Naluna,2014,0,0,0,0,3,0,0,1,2,0,0,1,0,0,0,0
Netala,2014,0,0,0,0,1,0,1,1,0,2,2,3,0,1,0,0
Maneri dam (backwater),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maneri side stream,2014,0,0,0,0,2,0,0,2,1,2,0,1,0,0,0,0
Beyond Maneri (opp pine pathch),2014,0,0,0,0,3,0,0,1,1,1,0,1,0,1,0,0
Jamak side stream,2014,0,0,0,0,2,0,1,2,2,2,0,2,0,0,0,2
Bhatwari,2014,0,0,0,0,2,0,1,1,1,1,0,1,0,1,0,0
bridge to oak patch,2014,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0
Bridge to alnus patch,2014,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Gangnani,2014,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0
Jhala village,2014,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0
Bogory (main river),2014,0,0,1,0,2,0,0,1,1,3,0,4,1,0,0,0
Harsil Side stream cantonment,2014,0,0,0,0,4,1,1,0,0,5,0,1,0,0,0,0
Harsil Side stream before village ,2014,0,0,0,0,2,0,0,1,1,4,0,1,0,0,0,0
Dharali,2014,0,0,1,2,1,0,0,0,0,2,0,3,1,0,0,0
Gangotri,2014,0,0,0,0,1,0,0,1,1,4,0,1,1,0,0,0
